href;tomatometer;audience_score;genre;director;runtime;studio;cast;date
https://www.rottentomatoes.com/m/los_ojos_de_julia;90;68;Art House & International|Horror|Mystery & Suspense;Guillem Morales;132 minutes;Universal Pictures International France;Belén Rueda|Lluis Homar|Pablo Derqui|Francesc Orella|Joan Dalmau|Clara Segura;2010-09-21T17:00:00-07:00
https://www.rottentomatoes.com/m/project_x_2011;28;61;Comedy|Drama|Science Fiction & Fantasy;Nima Nourizadeh;88 minutes;Warner Bros. Pictures;Thomas Mann|Oliver Cooper|Dax Flame|Jonathan Brown|Kirby Bliss Blanton|Brady Hender;2012-03-01T16:00:00-08:00
https://www.rottentomatoes.com/m/im_so_excited;48;37;Comedy;Pedro Almodóvar;90 minutes;Sony Pictures Classics;Antonio de la Torre|Hugo Silva (III)|Javier Cámara|Carlos Areces|Raúl Arévalo|Jose María Yazpik;2013-06-27T17:00:00-07:00
https://www.rottentomatoes.com/m/priceless;81;75;Art House & International|Comedy;Pierre Salvadori;104 minutes;Samuel Goldwyn Films;Audrey Tautou|Gad Elmaleh|Marie-Christine Adam|Vernon Dobtcheff|Jacques Spiesser|Annelise Hesme;2006-11-17T16:00:00-08:00
https://www.rottentomatoes.com/m/now_you_see_me;50;70;Mystery & Suspense;Louis Leterrier;115 minutes;Lionsgate Films;Jesse Eisenberg|Dave Franco|Morgan Freeman|Mark Ruffalo|Woody Harrelson|Isla Fisher;2013-05-30T17:00:00-07:00
https://www.rottentomatoes.com/m/julie_and_julia;77;70;Comedy|Drama;Nora Ephron;123 minutes;Sony/Columbia Pictures;Meryl Streep|Amy Adams|Chris Messina|Stanley Tucci|Linda Emond|Helen Carey;2009-08-06T17:00:00-07:00
https://www.rottentomatoes.com/m/the_smurfs;22;44;Action & Adventure|Animation|Comedy|Kids & Family|Science Fiction & Fantasy;Raja Gosnell;103 minutes;Sony Pictures Columbia;Neil Patrick Harris|Sofía Vergara|Jayma Mays|Tim Gunn|Jonathan Winters|Katy Perry;2011-07-28T17:00:00-07:00
https://www.rottentomatoes.com/m/the_wolverine_2012;71;69;Action & Adventure;James Mangold;136 minutes;20th Century Fox;Neil Patrick Harris|Sofía Vergara|Jayma Mays|Tim Gunn|Jonathan Winters|Katy Perry;2013-07-24T17:00:00-07:00
https://www.rottentomatoes.com/m/sleeper;100;81;Classics|Comedy|Science Fiction & Fantasy;Woody Allen;88 minutes;United Artists;Woody Allen|Diane Keaton|John Beck|Don Keefer|Don McLiam|Bartlett Robinson;1973-12-16T16:00:00-08:00
https://www.rottentomatoes.com/m/the_oranges_2011;31;32;Comedy|Drama|Romance;Julian Farino;92 minutes;ATO Pictures;Hugh Laurie|Catherine Keener|Oliver Platt|Allison Janney|Alia Shawkat|Adam Brody;2012-10-04T17:00:00-07:00
https://www.rottentomatoes.com/m/ginger_and_rosa;78;50;Drama;Sally Potter;89 minutes;A24 Films;Elle Fanning|Alessandro Nivola|Christina Hendricks|Alice Englert|Jodhi May|Annette Bening;2013-03-14T17:00:00-07:00
https://www.rottentomatoes.com/m/the_impossible_2012;81;84;Action & Adventure|Drama;J.A. Bayona;113 minutes;Lionsgate Films;Ewan McGregor|Naomi Watts|Tom Holland (II)|Geraldine Chaplin|Samuel Joslin|Oaklee Pendergast;2012-12-20T16:00:00-08:00
https://www.rottentomatoes.com/m/eurotrip;47;75;Comedy;Jeff Schaffer;89 minutes;DreamWorks SKG;Scott Mechlowicz|Jacob Pitts|Michelle Trachtenberg|Travis Wester|Kristin Kreuk|Jessica Boehrs;2003-01-31T16:00:00-08:00
https://www.rottentomatoes.com/m/despicable_me_2;75;85;Animation|Comedy|Kids & Family;Pierre Coffin|Chris Renaud;98 minutes;Universal Pictures;Steve Carell|Kristen Wiig|Benjamin Bratt|Miranda Cosgrove|Russell Brand|Ken Jeong;2013-07-02T17:00:00-07:00
https://www.rottentomatoes.com/m/1193906-ghosts_of_girlfriends_past;27;40;Comedy|Romance;Mark Waters (VIII);100 minutes;Warner Bros. Pictures;Matthew McConaughey|Jennifer Garner|Michael Douglas|Breckin Meyer|Lacey Chabert|Robert Forster;2009-04-30T17:00:00-07:00
https://www.rottentomatoes.com/m/something_borrowed_2011;15;48;Comedy|Drama|Science Fiction & Fantasy|Romance;Luke Greenfield;112 minutes;Warner Bros.;Kate Hudson|Ginnifer Goodwin|Colin Egglesfield|John Krasinski|Ashley Williams|Steve Howey;2011-05-05T17:00:00-07:00
https://www.rottentomatoes.com/m/the_hunger_games;84;81;Drama|Mystery & Suspense|Science Fiction & Fantasy;Gary Ross;142 minutes;Lionsgate;Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks|Sandra Ellis Lafferty;2012-03-22T17:00:00-07:00
https://www.rottentomatoes.com/m/monsters_university;80;81;Action & Adventure|Animation|Comedy|Kids & Family|Science Fiction & Fantasy;Dan Scanlon;95 minutes;Walt Disney Pictures;John Goodman|Helen Mirren|Peter Sohn|Joel Murray|Sean Hayes|Dave Foley;2013-06-20T17:00:00-07:00
